method,global_epoch,local_epoch,acc
L4,1,1,6.77
L4,2,2,12.91
L4,3,3,15.50
L4,4,4,21.72
L4,5,5,26.21
L4,6,6,30.58
L4,7,7,34.58
L4,8,8,38.75
L4,9,9,41.19
L4,10,10,43.18
L4,11,11,44.67
L4,12,12,47.00
L4,13,13,47.61
L4,14,14,50.02
L4,15,15,50.67
L4,16,16,51.48
L4,17,17,52.58
L4,18,18,54.02
L4,19,19,54.50
L4,20,20,54.83
L4,21,1,55.08
L4,22,2,55.89
L4,23,3,57.42
L4,24,4,58.13
L4,25,5,57.73
L4,26,6,59.19
L4,27,7,59.28
L4,28,8,59.94
L4,29,9,60.45
L4,30,10,60.68
L4,31,11,60.63
L4,32,12,61.37
L4,33,13,61.44
L4,34,14,61.52
L4,35,15,61.75
L4,36,16,61.81
L4,37,17,62.84
L4,38,18,63.25
L4,39,19,63.27
L4,40,20,63.72
L4,41,1,63.41
L4,42,2,63.49
L4,43,3,63.38
L4,44,4,63.77
L4,45,5,64.16
L4,46,6,64.30
L4,47,7,64.28
L4,48,8,64.21
L4,49,9,64.90
L4,50,10,64.66
L4,51,11,64.45
L4,52,12,64.71
L4,53,13,64.86
L4,54,14,65.41
L4,55,15,65.44
L4,56,16,65.46
L4,57,17,65.66
L4,58,18,65.84
L4,59,19,65.66
L4,60,20,65.84
L4,61,1,65.75
L4,62,2,66.10
L4,63,3,66.19
L4,64,4,66.12
L4,65,5,66.21
L4,66,6,66.18
L4,67,7,65.77
L4,68,8,65.98
L4,69,9,66.09
L4,70,10,66.05
L4,71,11,66.03
L4,72,12,66.48
L4,73,13,66.50
L4,74,14,66.25
L4,75,15,66.35
L4,76,16,66.27
L4,77,17,66.56
L4,78,18,66.60
L4,79,19,66.55
L4,80,20,66.62
L1,1,1,11.14
L1,2,2,15.43
L1,3,3,19.62
L1,4,4,22.83
L1,5,5,27.63
L1,6,6,29.91
L1,7,7,31.68
L1,8,8,34.69
L1,9,9,34.62
L1,10,10,36.50
L1,11,11,40.64
L1,12,12,41.49
L1,13,13,43.38
L1,14,14,44.03
L1,15,15,45.06
L1,16,16,47.19
L1,17,17,46.82
L1,18,18,47.23
L1,19,19,48.71
L1,20,20,50.32
L1,21,1,49.95
L1,22,2,51.21
L1,23,3,49.90
L1,24,4,52.10
L1,25,5,54.01
L1,26,6,54.15
L1,27,7,53.87
L1,28,8,55.39
L1,29,9,55.23
L1,30,10,55.42
L1,31,11,55.94
L1,32,12,55.97
L1,33,13,55.56
L1,34,14,56.75
L1,35,15,57.86
L1,36,16,57.29
L1,37,17,58.12
L1,38,18,59.28
L1,39,19,58.82
L1,40,20,59.35
L1,41,1,59.75
L1,42,2,59.86
L1,43,3,59.39
L1,44,4,61.07
L1,45,5,61.07
L1,46,6,60.64
L1,47,7,61.19
L1,48,8,61.04
L1,49,9,62.13
L1,50,10,62.28
L1,51,11,62.39
L1,52,12,62.12
L1,53,13,62.64
L1,54,14,62.66
L1,55,15,62.55
L1,56,16,62.97
L1,57,17,62.69
L1,58,18,62.56
L1,59,19,63.16
L1,60,20,63.51
L1,61,1,63.58
L1,62,2,64.02
L1,63,3,64.37
L1,64,4,63.97
L1,65,5,64.41
L1,66,6,64.38
L1,67,7,64.30
L1,68,8,64.68
L1,69,9,64.80
L1,70,10,64.43
L1,71,11,64.37
L1,72,12,64.57
L1,73,13,64.46
L1,74,14,64.39
L1,75,15,64.33
